Month,Day,Year,AverageTemperature,AverageTemperatureUncertainty,Country
6,1,2011,28.668,0.514,Egypt
12,1,2019,13.924,0.514,Egypt
12,1,1984,14.758,0.514,Egypt
12,1,2011,14.806,0.514,Egypt
2,1,1974,15.106,0.513,Egypt
2,1,1974,15.106,0.513,Egypt
3,1,2021,16.522,0.512,Egypt
2,1,2001,15.19,0.51,Egypt
2,1,2001,15.19,0.51,Egypt
12,1,1991,12.808,0.509,Egypt
12,1,1991,12.808,0.509,Egypt
6,1,2007,28.45,0.509,Egypt
7,1,2008,29.275,0.509,Egypt
12,1,1992,13.727,0.508,Egypt
12,1,1992,13.727,0.508,Egypt
7,1,1990,30.555,0.507,Egypt
2,1,2025,14.018,0.507,Egypt
7,1,1990,30.555,0.507,Egypt
8,1,2008,29.303,0.507,Egypt
7,1,2009,30.179,0.507,Egypt
11,1,1973,17.588,0.506,Egypt
8,1,2019,29.062,0.506,Egypt
11,1,1973,17.588,0.506,Egypt
1,1,2028,15.501,0.504,Egypt
10,1,2004,24.78,0.503,Egypt
6,1,1982,29.25,0.502,Egypt
6,1,1982,29.25,0.502,Egypt
12,1,2029,13.593,0.501,Egypt
1,1,2026,13.544,0.5,Egypt
6,1,2027,29.317,0.498,Egypt
5,1,2007,25.993,0.498,Egypt
3,1,1992,18.004,0.496,Egypt
4,1,2017,23.304,0.496,Egypt
3,1,1992,18.004,0.496,Egypt
2,1,1992,12.264,0.495,Egypt
4,1,2011,22.461,0.495,Egypt
2,1,1992,12.264,0.495,Egypt
6,1,2016,30.704,0.494,Egypt
8,1,2009,30.107,0.494,Egypt
4,1,2012,22.394,0.492,Egypt
6,1,2029,29.357,0.492,Egypt
1,1,1996,14.034,0.491,Egypt
1,1,1996,14.034,0.491,Egypt
10,1,2016,22.91,0.49,Egypt
3,1,2023,17.93,0.49,Egypt
8,1,2007,31.336,0.489,Egypt
8,1,2007,31.336,0.489,Egypt
2,1,1989,13.283,0.487,Egypt
4,1,2000,24.186,0.487,Egypt
7,1,2022,30.283,0.487,Egypt
2,1,1989,13.283,0.487,Egypt
4,1,2000,24.186,0.487,Egypt
7,1,2000,31.516,0.484,Egypt
9,1,2011,27.314,0.484,Egypt
9,1,2013,28.103,0.484,Egypt
7,1,2000,31.516,0.484,Egypt
10,1,2007,23.373,0.484,Egypt
3,1,2022,18.343,0.483,Egypt
6,1,2028,28.833,0.483,Egypt
1,1,2000,13.219,0.482,Egypt
8,1,2015,30.248,0.482,Egypt
1,1,2000,13.219,0.482,Egypt
8,1,2028,30.58,0.481,Egypt
1,1,1994,15.147,0.48,Egypt
1,1,1994,15.147,0.48,Egypt
3,1,2020,17.449,0.477,Egypt
2,1,2028,14.599,0.477,Egypt
10,1,2018,25.826,0.475,Egypt
5,1,2008,26.489,0.475,Egypt
1,1,2011,13.536,0.474,Egypt
2,1,2014,14.98,0.474,Egypt
6,1,2018,29.073,0.473,Egypt
5,1,2022,25.84,0.472,Egypt
8,1,2022,30.127,0.471,Egypt
2,1,1983,13.494,0.468,Egypt
10,1,2027,26.007,0.468,Egypt
2,1,1983,13.494,0.468,Egypt
8,1,2029,30.186,0.466,Egypt
9,1,2006,27.428,0.466,Egypt
7,1,2020,29.787,0.465,Egypt
6,1,1998,29.369,0.464,Egypt
6,1,1998,29.369,0.464,Egypt
7,1,2007,29.753,0.464,Egypt
5,1,2014,26.421,0.463,Egypt
4,1,2028,24.272,0.463,Egypt
7,1,2011,29.65,0.462,Egypt
7,1,2025,30.168,0.462,Egypt
3,1,1971,19.904,0.461,Egypt
3,1,2013,16.614,0.461,Egypt
3,1,1971,19.904,0.461,Egypt
6,1,1981,30.076,0.46,Egypt
9,1,2022,28.224,0.46,Egypt
8,1,2023,29.828,0.46,Egypt
6,1,1981,30.076,0.46,Egypt
3,1,2000,17.545,0.459,Egypt
3,1,2000,17.545,0.459,Egypt
7,1,1999,31.303,0.458,Egypt
7,1,1999,31.303,0.458,Egypt
8,1,1989,30.597,0.457,Egypt
4,1,2018,22.317,0.457,Egypt
8,1,1989,30.597,0.457,Egypt
12,1,2012,15.477,0.456,Egypt
12,1,2012,15.477,0.456,Egypt
12,1,2022,13.431,0.455,Egypt
6,1,2008,28.955,0.455,Egypt
5,1,2012,28.515,0.454,Egypt
5,1,2012,28.515,0.454,Egypt
8,1,2003,31.346,0.453,Egypt
10,1,2021,23.42,0.453,Egypt
8,1,2003,31.346,0.453,Egypt
9,1,2024,28.485,0.452,Egypt
3,1,1976,18.852,0.45,Egypt
5,1,2020,25.545,0.45,Egypt
2,1,2022,15.141,0.45,Egypt
3,1,1976,18.852,0.45,Egypt
11,1,2005,20.628,0.45,Egypt
11,1,1986,18.224,0.449,Egypt
5,1,1987,27.407,0.449,Egypt
11,1,1986,18.224,0.449,Egypt
5,1,1987,27.407,0.449,Egypt
10,1,2026,23.73,0.448,Egypt
9,1,2015,27.574,0.447,Egypt
12,1,2024,14.668,0.447,Egypt
8,1,2014,30.159,0.446,Egypt
7,1,2016,30.965,0.446,Egypt
6,1,2012,31.2,0.444,Egypt
2,1,2009,14.801,0.444,Egypt
6,1,2012,31.2,0.444,Egypt
2,1,1978,16.408,0.443,Egypt
4,1,1989,25.211,0.443,Egypt
7,1,2001,31.388,0.443,Egypt
11,1,2026,19.721,0.443,Egypt
2,1,1978,16.408,0.443,Egypt
4,1,1989,25.211,0.443,Egypt
7,1,2001,31.388,0.443,Egypt
1,1,2001,14.132,0.442,Egypt
10,1,2011,24.546,0.442,Egypt
11,1,2025,20.659,0.442,Egypt
1,1,2001,14.132,0.442,Egypt
10,1,2011,24.546,0.442,Egypt
8,1,2020,30.805,0.441,Egypt
4,1,1983,21.831,0.44,Egypt
11,1,2011,19.22,0.44,Egypt
4,1,1983,21.831,0.44,Egypt
8,1,2010,29.687,0.44,Egypt
3,1,2029,17.482,0.439,Egypt
12,1,1972,14.115,0.438,Egypt
1,1,1993,13.051,0.438,Egypt
3,1,1993,18.173,0.438,Egypt
12,1,2000,15.159,0.438,Egypt
12,1,1972,14.115,0.438,Egypt
1,1,1993,13.051,0.438,Egypt
3,1,1993,18.173,0.438,Egypt
12,1,2000,15.159,0.438,Egypt
11,1,2011,18.145,0.437,Egypt
11,1,2011,18.145,0.437,Egypt
9,1,1999,29.693,0.436,Egypt
9,1,1999,29.693,0.436,Egypt
2,1,2010,15.053,0.436,Egypt
8,1,1975,29.177,0.435,Egypt
6,1,2006,30.648,0.435,Egypt
9,1,2014,27.593,0.435,Egypt
8,1,1975,29.177,0.435,Egypt
6,1,2006,30.648,0.435,Egypt
9,1,1995,29.842,0.434,Egypt
9,1,1995,29.842,0.434,Egypt
3,1,1977,17.547,0.433,Egypt
1,1,2012,12.489,0.433,Egypt
3,1,1977,17.547,0.433,Egypt
1,1,2012,12.489,0.433,Egypt
11,1,2003,20.37,0.432,Egypt
9,1,2023,27.793,0.432,Egypt
11,1,2023,20.134,0.432,Egypt
11,1,2003,20.37,0.432,Egypt
12,1,1974,13.668,0.431,Egypt
10,1,1982,25.632,0.431,Egypt
10,1,1992,25.782,0.431,Egypt
6,1,2020,29.174,0.431,Egypt
12,1,1974,13.668,0.431,Egypt
10,1,1982,25.632,0.431,Egypt
10,1,1992,25.782,0.431,Egypt
1,1,1986,13.814,0.43,Egypt
1,1,2024,13.096,0.43,Egypt
1,1,1986,13.814,0.43,Egypt
9,1,2020,27.059,0.429,Egypt
10,1,2025,25.122,0.429,Egypt
3,1,1975,18.88,0.428,Egypt
3,1,1975,18.88,0.428,Egypt
4,1,1991,24.94,0.427,Egypt
7,1,2012,29.227,0.427,Egypt
4,1,1991,24.94,0.427,Egypt
2,1,2000,14.42,0.426,Egypt
9,1,2019,27.844,0.426,Egypt
2,1,2000,14.42,0.426,Egypt
3,1,1973,18.223,0.425,Egypt
4,1,1977,21.909,0.425,Egypt
7,1,1985,29.77,0.425,Egypt
1,1,1989,11.29,0.425,Egypt
3,1,1973,18.223,0.425,Egypt
4,1,1977,21.909,0.425,Egypt
7,1,1985,29.77,0.425,Egypt
1,1,1989,11.29,0.425,Egypt
5,1,1977,27.507,0.424,Egypt
10,1,1993,26.71,0.424,Egypt
9,1,1998,29.905,0.424,Egypt
8,1,2001,31.803,0.424,Egypt
2,1,2026,15.042,0.424,Egypt
5,1,1977,27.507,0.424,Egypt
10,1,1993,26.71,0.424,Egypt
9,1,1998,29.905,0.424,Egypt
8,1,2001,31.803,0.424,Egypt
11,1,1972,18.579,0.423,Egypt
11,1,1972,18.579,0.423,Egypt
12,1,2002,15.232,0.422,Egypt
11,1,2027,20.476,0.422,Egypt
12,1,2002,15.232,0.422,Egypt
7,1,2019,30.312,0.421,Egypt
1,1,1992,12.459,0.42,Egypt
8,1,1997,30.493,0.42,Egypt
1,1,1992,12.459,0.42,Egypt
8,1,1997,30.493,0.42,Egypt
9,1,2007,27.077,0.42,Egypt
7,1,1978,30.806,0.419,Egypt
4,1,1988,24.146,0.419,Egypt
7,1,1994,30.635,0.419,Egypt
4,1,2014,20.417,0.419,Egypt
6,1,2024,29.894,0.419,Egypt
7,1,1978,30.806,0.419,Egypt
4,1,1988,24.146,0.419,Egypt
7,1,1994,30.635,0.419,Egypt
8,1,2007,29.827,0.419,Egypt
2,1,2013,14.001,0.418,Egypt
3,1,2027,18.362,0.417,Egypt
9,1,2008,27.178,0.417,Egypt
11,1,1990,21.418,0.416,Egypt
3,1,2013,21.278,0.416,Egypt
11,1,1990,21.418,0.416,Egypt
3,1,2013,21.278,0.416,Egypt
10,1,1976,25.957,0.415,Egypt
1,1,1979,13.657,0.415,Egypt
10,1,1976,25.957,0.415,Egypt
1,1,1979,13.657,0.415,Egypt
1,1,2005,13.883,0.414,Egypt
4,1,2015,22.751,0.414,Egypt
8,1,2016,29.648,0.414,Egypt
5,1,2017,24.829,0.414,Egypt
1,1,2005,13.883,0.414,Egypt
7,1,1973,30.726,0.413,Egypt
6,1,1985,30.367,0.413,Egypt
4,1,1987,21.142,0.413,Egypt
7,1,1973,30.726,0.413,Egypt
6,1,1985,30.367,0.413,Egypt
4,1,1987,21.142,0.413,Egypt
4,1,2025,22.237,0.412,Egypt
2,1,2021,13.967,0.411,Egypt
1,1,1982,14.717,0.41,Egypt
1,1,1982,14.717,0.41,Egypt
9,1,2000,28.454,0.409,Egypt
9,1,2000,28.454,0.409,Egypt
10,1,1980,25.042,0.408,Egypt
5,1,1993,26.724,0.408,Egypt
10,1,1980,25.042,0.408,Egypt
5,1,1993,26.724,0.408,Egypt
10,1,2003,25.76,0.407,Egypt
8,1,2024,30.437,0.407,Egypt
10,1,2003,25.76,0.407,Egypt
2,1,1973,17.056,0.406,Egypt
9,1,2027,28.147,0.406,Egypt
2,1,1973,17.056,0.406,Egypt
4,1,2024,23.638,0.405,Egypt
11,1,1981,17.536,0.404,Egypt
5,1,1991,27.641,0.404,Egypt
2,1,1993,13.889,0.404,Egypt
3,1,2006,20.016,0.404,Egypt
11,1,1981,17.536,0.404,Egypt
5,1,1991,27.641,0.404,Egypt
2,1,1993,13.889,0.404,Egypt
3,1,2006,20.016,0.404,Egypt
11,1,2021,18.648,0.403,Egypt
1,1,1971,15.472,0.402,Egypt
6,1,1972,29.373,0.402,Egypt
1,1,1971,15.472,0.402,Egypt
6,1,1972,29.373,0.402,Egypt
10,1,1983,22.868,0.401,Egypt
10,1,1983,22.868,0.401,Egypt
7,1,2023,29.443,0.4,Egypt
4,1,2022,23.168,0.399,Egypt
4,1,2001,24.149,0.397,Egypt
4,1,2010,24.744,0.397,Egypt
4,1,2001,24.149,0.397,Egypt
4,1,2010,24.744,0.397,Egypt
5,1,2023,26.508,0.396,Egypt
10,1,1973,24.989,0.395,Egypt
10,1,1973,24.989,0.395,Egypt
8,1,2027,30.412,0.394,Egypt
1,1,2006,14.248,0.393,Egypt
1,1,2019,14.797,0.393,Egypt
1,1,2006,14.248,0.393,Egypt
6,1,1973,29.343,0.392,Egypt
5,1,1975,26.655,0.392,Egypt
8,1,2026,28.961,0.392,Egypt
6,1,1973,29.343,0.392,Egypt
5,1,1975,26.655,0.392,Egypt
1,1,2003,15.251,0.391,Egypt
3,1,2004,20.21,0.391,Egypt
9,1,2026,26.444,0.391,Egypt
1,1,2003,15.251,0.391,Egypt
3,1,2004,20.21,0.391,Egypt
9,1,1994,29.337,0.39,Egypt
9,1,1994,29.337,0.39,Egypt
4,1,1972,23.825,0.389,Egypt
4,1,1978,24.014,0.389,Egypt
12,1,2025,15.71,0.389,Egypt
4,1,1972,23.825,0.389,Egypt
4,1,1978,24.014,0.389,Egypt
11,1,1994,18.766,0.388,Egypt
11,1,1994,18.766,0.388,Egypt
6,1,1976,29.182,0.387,Egypt
3,1,1987,17.914,0.387,Egypt
6,1,2025,29.314,0.387,Egypt
6,1,1976,29.182,0.387,Egypt
3,1,1987,17.914,0.387,Egypt
4,1,1995,22.18,0.386,Egypt
11,1,2028,19.48,0.386,Egypt
4,1,1995,22.18,0.386,Egypt
10,1,1981,25.935,0.385,Egypt
5,1,1994,27.432,0.385,Egypt
6,1,1999,29.688,0.385,Egypt
8,1,1999,31.52,0.385,Egypt
8,1,2025,29.836,0.385,Egypt
10,1,1981,25.935,0.385,Egypt
5,1,1994,27.432,0.385,Egypt
6,1,1999,29.688,0.385,Egypt
8,1,1999,31.52,0.385,Egypt
11,1,1975,19.322,0.384,Egypt
7,1,1993,30.436,0.384,Egypt
7,1,1995,31.43,0.384,Egypt
4,1,2009,24.511,0.384,Egypt
3,1,2018,18.649,0.384,Egypt
11,1,1975,19.322,0.384,Egypt
7,1,1993,30.436,0.384,Egypt
7,1,1995,31.43,0.384,Egypt
4,1,2009,24.511,0.384,Egypt
11,1,1993,21.072,0.383,Egypt
12,1,2026,14.532,0.383,Egypt
11,1,1993,21.072,0.383,Egypt
2,1,2006,16.833,0.382,Egypt
2,1,2027,13.351,0.382,Egypt
2,1,2006,16.833,0.382,Egypt
6,1,1984,28.548,0.381,Egypt
7,1,1987,31.067,0.381,Egypt
5,1,2027,27.355,0.381,Egypt
6,1,1984,28.548,0.381,Egypt
7,1,1987,31.067,0.381,Egypt
3,1,1984,19.566,0.38,Egypt
12,1,1988,14.725,0.38,Egypt
3,1,1984,19.566,0.38,Egypt
12,1,1988,14.725,0.38,Egypt
6,1,1971,29.2,0.379,Egypt
4,1,1976,23.355,0.379,Egypt
6,1,1971,29.2,0.379,Egypt
4,1,1976,23.355,0.379,Egypt
1,1,1976,12.784,0.378,Egypt
3,1,1989,18.119,0.378,Egypt
2,1,2010,18.812,0.378,Egypt
9,1,2021,26.948,0.378,Egypt
1,1,1976,12.784,0.378,Egypt
3,1,1989,18.119,0.378,Egypt
2,1,2010,18.812,0.378,Egypt
3,1,1985,19.756,0.377,Egypt
3,1,1991,20.095,0.377,Egypt
8,1,2006,32.005,0.377,Egypt
3,1,1985,19.756,0.377,Egypt
3,1,1991,20.095,0.377,Egypt
8,1,2006,32.005,0.377,Egypt
3,1,1970,19.13,0.376,Egypt
7,1,1982,29.728,0.376,Egypt
3,1,1994,18.24,0.376,Egypt
3,1,1970,19.13,0.376,Egypt
7,1,1982,29.728,0.376,Egypt
3,1,1994,18.24,0.376,Egypt
4,1,1970,23.609,0.375,Egypt
7,1,1980,30.675,0.375,Egypt
7,1,2026,29.44,0.375,Egypt
4,1,1970,23.609,0.375,Egypt
7,1,1980,30.675,0.375,Egypt
12,1,1973,15.252,0.374,Egypt
1,1,1978,12.97,0.374,Egypt
5,1,1981,26.86,0.374,Egypt
12,1,1973,15.252,0.374,Egypt
1,1,1978,12.97,0.374,Egypt
5,1,1981,26.86,0.374,Egypt
9,1,1992,27.452,0.373,Egypt
8,1,2000,30.089,0.373,Egypt
9,1,1992,27.452,0.373,Egypt
8,1,2000,30.089,0.373,Egypt
1,1,1970,14.775,0.372,Egypt
5,1,2004,28.606,0.372,Egypt
1,1,1970,14.775,0.372,Egypt
5,1,2004,28.606,0.372,Egypt
11,1,1974,19.114,0.371,Egypt
7,1,1989,30.558,0.371,Egypt
1,1,2004,13.671,0.371,Egypt
4,1,2027,21.292,0.371,Egypt
11,1,1974,19.114,0.371,Egypt
7,1,1989,30.558,0.371,Egypt
1,1,2004,13.671,0.371,Egypt
10,1,1985,22.655,0.37,Egypt
1,1,1995,13.41,0.37,Egypt
7,1,2027,30.983,0.37,Egypt
10,1,1985,22.655,0.37,Egypt
1,1,1995,13.41,0.37,Egypt
2,1,1977,16.908,0.368,Egypt
5,1,1979,27.483,0.368,Egypt
2,1,1977,16.908,0.368,Egypt
5,1,1979,27.483,0.368,Egypt
5,1,2025,26.8,0.367,Egypt
10,1,1986,23.912,0.366,Egypt
1,1,1991,13.398,0.366,Egypt
11,1,2010,22.25,0.366,Egypt
10,1,1986,23.912,0.366,Egypt
1,1,1991,13.398,0.366,Egypt
11,1,2010,22.25,0.366,Egypt
10,1,1999,25.666,0.365,Egypt
10,1,1999,25.666,0.365,Egypt
8,1,1973,29.1,0.364,Egypt
6,1,1975,28.978,0.364,Egypt
10,1,1977,22.874,0.364,Egypt
5,1,1998,28.449,0.364,Egypt
8,1,1973,29.1,0.364,Egypt
6,1,1975,28.978,0.364,Egypt
10,1,1977,22.874,0.364,Egypt
5,1,1998,28.449,0.364,Egypt
11,1,1971,18.58,0.363,Egypt
1,1,1984,13.003,0.363,Egypt
1,1,1985,15.722,0.363,Egypt
2,1,1997,13.528,0.363,Egypt
9,1,1997,28.17,0.363,Egypt
6,1,2001,29.472,0.363,Egypt
6,1,2003,30.759,0.363,Egypt
11,1,1971,18.58,0.363,Egypt
1,1,1984,13.003,0.363,Egypt
1,1,1985,15.722,0.363,Egypt
2,1,1997,13.528,0.363,Egypt
9,1,1997,28.17,0.363,Egypt
6,1,2001,29.472,0.363,Egypt
6,1,2003,30.759,0.363,Egypt
4,1,1979,24.817,0.361,Egypt
10,1,2001,24.303,0.361,Egypt
12,1,2008,16.385,0.361,Egypt
4,1,1979,24.817,0.361,Egypt
10,1,2001,24.303,0.361,Egypt
12,1,2008,16.385,0.361,Egypt
1,1,1974,12.22,0.36,Egypt
3,1,2026,17.845,0.36,Egypt
1,1,1974,12.22,0.36,Egypt
2,1,1971,15.228,0.359,Egypt
3,1,1983,16.501,0.359,Egypt
1,1,1997,14.766,0.359,Egypt
2,1,1971,15.228,0.359,Egypt
3,1,1983,16.501,0.359,Egypt
1,1,1997,14.766,0.359,Egypt
1,1,1973,13.437,0.358,Egypt
12,1,2012,13.813,0.358,Egypt
1,1,1973,13.437,0.358,Egypt
12,1,2003,14.715,0.357,Egypt
12,1,2003,14.715,0.357,Egypt
9,1,1985,27.652,0.356,Egypt
11,1,1989,18.899,0.356,Egypt
9,1,1985,27.652,0.356,Egypt
11,1,1989,18.899,0.356,Egypt
12,1,2001,14.942,0.355,Egypt
1,1,2013,12.98,0.355,Egypt
12,1,2001,14.942,0.355,Egypt
2,1,1995,15.375,0.354,Egypt
10,1,2023,23.835,0.354,Egypt
2,1,1995,15.375,0.354,Egypt
3,1,1972,18.503,0.353,Egypt
3,1,1990,17.665,0.353,Egypt
3,1,1972,18.503,0.353,Egypt
3,1,1990,17.665,0.353,Egypt
11,1,1970,19.008,0.352,Egypt
5,1,1980,28.048,0.352,Egypt
9,1,1993,28.894,0.352,Egypt
10,1,1998,25.588,0.352,Egypt
11,1,2020,18.414,0.352,Egypt
12,1,2021,14.857,0.352,Egypt
11,1,1970,19.008,0.352,Egypt
5,1,1980,28.048,0.352,Egypt
9,1,1993,28.894,0.352,Egypt
10,1,1998,25.588,0.352,Egypt
8,1,1972,30.292,0.351,Egypt
8,1,1994,30.499,0.351,Egypt
8,1,1972,30.292,0.351,Egypt
8,1,1994,30.499,0.351,Egypt
7,1,1984,29.405,0.35,Egypt
7,1,1997,31.293,0.35,Egypt
7,1,2028,29.714,0.35,Egypt
7,1,1984,29.405,0.35,Egypt
7,1,1997,31.293,0.35,Egypt
10,1,1972,25.448,0.348,Egypt
1,1,1981,11.467,0.348,Egypt
7,1,1991,30.087,0.348,Egypt
10,1,1972,25.448,0.348,Egypt
1,1,1981,11.467,0.348,Egypt
7,1,1991,30.087,0.348,Egypt
3,1,2005,19.638,0.347,Egypt
4,1,2007,23.655,0.347,Egypt
3,1,2005,19.638,0.347,Egypt
4,1,2007,23.655,0.347,Egypt
9,1,1972,29.235,0.345,Egypt
9,1,1972,29.235,0.345,Egypt
1,1,1990,13.752,0.343,Egypt
7,1,2010,31.845,0.343,Egypt
1,1,1990,13.752,0.343,Egypt
7,1,2010,31.845,0.343,Egypt
10,1,1971,23.476,0.342,Egypt
6,1,1979,30.704,0.342,Egypt
10,1,1987,23.516,0.342,Egypt
2,1,2004,15.796,0.342,Egypt
10,1,1971,23.476,0.342,Egypt
6,1,1979,30.704,0.342,Egypt
10,1,1987,23.516,0.342,Egypt
2,1,2004,15.796,0.342,Egypt
2,1,2011,17.018,0.341,Egypt
2,1,2011,17.018,0.341,Egypt
10,1,1979,25.362,0.34,Egypt
7,1,1998,31.438,0.34,Egypt
10,1,1979,25.362,0.34,Egypt
7,1,1998,31.438,0.34,Egypt
10,1,2029,23.431,0.339,Egypt
10,1,1970,23.137,0.338,Egypt
8,1,1971,29.765,0.338,Egypt
10,1,1995,24.911,0.338,Egypt
11,1,2001,19.437,0.338,Egypt
10,1,1970,23.137,0.338,Egypt
8,1,1971,29.765,0.338,Egypt
10,1,1995,24.911,0.338,Egypt
11,1,2001,19.437,0.338,Egypt
4,1,1971,21.57,0.337,Egypt
3,1,1981,19.575,0.337,Egypt
12,1,1985,15.817,0.337,Egypt
9,1,2010,30.231,0.337,Egypt
4,1,1971,21.57,0.337,Egypt
3,1,1981,19.575,0.337,Egypt
12,1,1985,15.817,0.337,Egypt
9,1,2010,30.231,0.337,Egypt
12,1,2005,16.389,0.336,Egypt
2,1,2012,15.536,0.336,Egypt
12,1,2005,16.389,0.336,Egypt
2,1,2012,15.536,0.336,Egypt
12,1,1998,15.486,0.335,Egypt
12,1,1998,15.486,0.335,Egypt
6,1,1989,30.045,0.334,Egypt
4,1,1994,24.484,0.334,Egypt
6,1,1989,30.045,0.334,Egypt
4,1,1994,24.484,0.334,Egypt
7,1,1977,30.691,0.332,Egypt
1,1,1983,10.951,0.332,Egypt
7,1,1977,30.691,0.332,Egypt
1,1,1983,10.951,0.332,Egypt
8,1,2009,30.699,0.331,Egypt
10,1,2010,27.538,0.331,Egypt
10,1,2028,24.347,0.331,Egypt
8,1,2009,30.699,0.331,Egypt
10,1,2010,27.538,0.331,Egypt
9,1,1991,27.666,0.33,Egypt
9,1,1996,30.156,0.33,Egypt
8,1,2008,31.696,0.33,Egypt
9,1,1991,27.666,0.33,Egypt
9,1,1996,30.156,0.33,Egypt
8,1,2008,31.696,0.33,Egypt
3,1,1974,19.589,0.329,Egypt
8,1,1987,30.875,0.329,Egypt
8,1,1991,29.854,0.329,Egypt
8,1,1996,30.912,0.329,Egypt
12,1,1996,15.428,0.329,Egypt
5,1,2003,28.551,0.329,Egypt
3,1,1974,19.589,0.329,Egypt
8,1,1987,30.875,0.329,Egypt
8,1,1991,29.854,0.329,Egypt
8,1,1996,30.912,0.329,Egypt
12,1,1996,15.428,0.329,Egypt
5,1,2003,28.551,0.329,Egypt
9,1,1981,27.751,0.328,Egypt
12,1,1997,14.816,0.328,Egypt
9,1,1981,27.751,0.328,Egypt
12,1,1997,14.816,0.328,Egypt
12,1,1986,13.079,0.327,Egypt
6,1,1988,31.181,0.327,Egypt
12,1,1989,14.607,0.327,Egypt
12,1,1993,16.947,0.327,Egypt
9,1,2006,29.509,0.327,Egypt
12,1,1986,13.079,0.327,Egypt
6,1,1988,31.181,0.327,Egypt
12,1,1989,14.607,0.327,Egypt
12,1,1993,16.947,0.327,Egypt
9,1,2006,29.509,0.327,Egypt
12,1,1978,15.099,0.326,Egypt
3,1,1980,19.346,0.326,Egypt
4,1,1981,24.414,0.326,Egypt
10,1,1991,25.208,0.326,Egypt
12,1,1994,13.438,0.326,Egypt
2,1,2007,15.856,0.326,Egypt
12,1,1978,15.099,0.326,Egypt
3,1,1980,19.346,0.326,Egypt
4,1,1981,24.414,0.326,Egypt
10,1,1991,25.208,0.326,Egypt
12,1,1994,13.438,0.326,Egypt
2,1,2007,15.856,0.326,Egypt
1,1,1980,13.299,0.325,Egypt
5,1,2010,27.987,0.325,Egypt
1,1,1980,13.299,0.325,Egypt
5,1,2010,27.987,0.325,Egypt
5,1,1978,28.76,0.324,Egypt
5,1,1978,28.76,0.324,Egypt
9,1,1971,27.772,0.323,Egypt
9,1,1971,27.772,0.323,Egypt
7,1,2007,31.556,0.322,Egypt
1,1,2008,12.687,0.322,Egypt
7,1,2007,31.556,0.322,Egypt
1,1,2008,12.687,0.322,Egypt
2,1,2003,14.241,0.321,Egypt
2,1,2003,14.241,0.321,Egypt
9,1,1975,27.423,0.32,Egypt
2,1,1990,14.137,0.32,Egypt
9,1,1975,27.423,0.32,Egypt
2,1,1990,14.137,0.32,Egypt
10,1,1988,22.999,0.319,Egypt
10,1,1988,22.999,0.319,Egypt
11,1,1991,19.635,0.318,Egypt
11,1,1998,20.341,0.318,Egypt
11,1,1991,19.635,0.318,Egypt
11,1,1998,20.341,0.318,Egypt
3,1,1988,19.201,0.317,Egypt
5,1,1992,26.571,0.317,Egypt
8,1,1995,30.836,0.317,Egypt
6,1,1996,29.381,0.317,Egypt
3,1,1988,19.201,0.317,Egypt
5,1,1992,26.571,0.317,Egypt
8,1,1995,30.836,0.317,Egypt
6,1,1996,29.381,0.317,Egypt
6,1,1970,28.492,0.316,Egypt
6,1,1980,29.698,0.316,Egypt
7,1,2003,31.246,0.316,Egypt
6,1,1970,28.492,0.316,Egypt
6,1,1980,29.698,0.316,Egypt
7,1,2003,31.246,0.316,Egypt
9,1,1976,28.204,0.315,Egypt
9,1,1983,27.604,0.315,Egypt
11,1,1984,18.755,0.315,Egypt
4,1,1985,23.345,0.315,Egypt
11,1,1999,20.394,0.315,Egypt
9,1,1976,28.204,0.315,Egypt
9,1,1983,27.604,0.315,Egypt
11,1,1984,18.755,0.315,Egypt
4,1,1985,23.345,0.315,Egypt
11,1,1999,20.394,0.315,Egypt
11,1,1982,17.342,0.314,Egypt
12,1,1983,14.956,0.314,Egypt
12,1,2006,14.188,0.314,Egypt
11,1,1982,17.342,0.314,Egypt
12,1,1983,14.956,0.314,Egypt
12,1,2006,14.188,0.314,Egypt
2,1,1970,16.063,0.313,Egypt
5,1,1984,29.096,0.313,Egypt
6,1,1993,29.921,0.313,Egypt
5,1,1996,28.991,0.313,Egypt
1,1,2002,12.173,0.313,Egypt
2,1,1970,16.063,0.313,Egypt
5,1,1984,29.096,0.313,Egypt
6,1,1993,29.921,0.313,Egypt
5,1,1996,28.991,0.313,Egypt
1,1,2002,12.173,0.313,Egypt
10,1,1974,25.65,0.312,Egypt
9,1,1982,28.322,0.312,Egypt
11,1,1983,19.858,0.312,Egypt
10,1,1974,25.65,0.312,Egypt
9,1,1982,28.322,0.312,Egypt
11,1,1983,19.858,0.312,Egypt
8,1,1980,30.201,0.309,Egypt
8,1,1980,30.201,0.309,Egypt
5,1,1997,27.658,0.308,Egypt
7,1,2006,30.792,0.308,Egypt
3,1,2008,21.699,0.308,Egypt
5,1,1997,27.658,0.308,Egypt
7,1,2006,30.792,0.308,Egypt
3,1,2008,21.699,0.308,Egypt
2,1,1981,14.483,0.307,Egypt
2,1,1981,14.483,0.307,Egypt
6,1,1983,29.51,0.306,Egypt
2,1,1994,14.989,0.306,Egypt
6,1,1983,29.51,0.306,Egypt
2,1,1994,14.989,0.306,Egypt
2,1,1975,15.201,0.305,Egypt
11,1,1977,19.215,0.305,Egypt
10,1,2004,25.448,0.305,Egypt
2,1,1975,15.201,0.305,Egypt
